rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,doi:10.1177/0278364903022006003,Estimating Articulated Human Motion with Covariance Scaled Sampling,2003,The International Journal of Robotics Research,https://doi.org/10.1177/0278364903022006003,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
2,arxiv:2505.20537v2,CoRI: Communication of Robot Intent for Physical Human-Robot Interaction,2025,arXiv,http://arxiv.org/abs/2505.20537v2,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
3,doi:10.1016/j.rcim.2017.08.007,Human motion intent learning based motion assistance control for a wearable exoskeleton,2018,Robotics and Computer-Integrated Manufacturing,https://doi.org/10.1016/j.rcim.2017.08.007,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.3389/fnbot.2022.826410,A Bio-Inspired Mechanism for Learning Robot Motion From Mirrored Human Demonstrations,2022,Frontiers in Neurorobotics,https://doi.org/10.3389/fnbot.2022.826410,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.1109/icara.2000.4803931,A probabilistic model of human motion and navigation intent for mobile robot path planning,2009,2009 4th International Conference on Autonomous Robots and Agents,https://doi.org/10.1109/icara.2000.4803931,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
6,doi:10.1007/s12555-025-0505-8,REPLAY: Robot Embodiment via Intent-aware Policy Imitation by Replicating Human Demonstrations From Video,2025,"International Journal of Control, Automation and Systems",https://doi.org/10.1007/s12555-025-0505-8,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.1007/s10846-023-01935-x,Auction-Based Task Allocation and Motion Planning for Multi-Robot Systems with Human Supervision,2023,Journal of Intelligent & Robotic Systems,https://doi.org/10.1007/s10846-023-01935-x,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
8,doi:10.3390/app15084186,Video Human Action Recognition Based on Motion-Tempo Learning and Feedback Attention,2025,Applied Sciences,https://doi.org/10.3390/app15084186,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
9,arxiv:2205.07081v1,GoalNet: Inferring Conjunctive Goal Predicates from Human Plan Demonstrations for Robot Instruction Following,2022,arXiv,http://arxiv.org/abs/2205.07081v1,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
10,doi:10.24963/ijcai.2018/105,Human Motion Generation via Cross-Space Constrained Sampling,2018,Proceedings of the Twenty-Seventh International Joint Conference on Artificial Intelligence,https://doi.org/10.24963/ijcai.2018/105,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
11,doi:10.1109/roman.2018.8525727,Andorid Robot Motion Generation Based on Video-Recorded Human Demonstrations,2018,2018 27th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN),https://doi.org/10.1109/roman.2018.8525727,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
12,doi:10.1177/02783649211046285,Concept2Robot: Learning manipulation concepts from instructions and human demonstrations,2021,The International Journal of Robotics Research,https://doi.org/10.1177/02783649211046285,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
13,doi:10.1145/3623384,"Unified Learning from Demonstrations, Corrections, and Preferences during Physical Human–Robot Interaction",2024,ACM Transactions on Human-Robot Interaction,https://doi.org/10.1145/3623384,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
14,doi:10.1007/s10514-021-10030-9,User intent estimation during robot learning using physical human robot interaction primitives,2022,Autonomous Robots,https://doi.org/10.1007/s10514-021-10030-9,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
15,doi:10.3389/frobt.2024.1312554,Multimodal fusion of EMG and vision for human grasp intent inference in prosthetic hand control,2024,Frontiers in Robotics and AI,https://doi.org/10.3389/frobt.2024.1312554,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
16,doi:10.1108/ir-07-2025-0249,Dynamic human-like motion planning method of human–robot collaboration based on movement primitives and double DQN,2025,Industrial Robot: the international journal of robotics research and application,https://doi.org/10.1108/ir-07-2025-0249,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
17,doi:10.5772/4728,"Bio-Mimetic Finger: Human Like Morphology, Control &amp; Motion Planning for Intelligent Robot &amp; Prosthesis",2006,"Mobile Robotics, Moving Intelligence",https://doi.org/10.5772/4728,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
18,doi:10.2174/0126662558278156231231063935,Motion Signal-based Recognition of Human Activity from Video Stream Dataset Using Deep Learning Approach,2024,Recent Advances in Computer Science and Communications,https://doi.org/10.2174/0126662558278156231231063935,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
19,doi:10.1007/s10846-026-02403-y,STL-Based Motion Planning and Uncertainty-Aware Risk Analysis for Human-Robot Collaboration with a Multi-Rotor Aerial Vehicle,2026,Journal of Intelligent & Robotic Systems,https://doi.org/10.1007/s10846-026-02403-y,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
20,arxiv:2405.11458v1,CPS-LLM: Large Language Model based Safe Usage Plan Generator for Human-in-the-Loop Human-in-the-Plant Cyber-Physical System,2024,arXiv,http://arxiv.org/abs/2405.11458v1,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
21,arxiv:2605.20373v1,SUGAR: A Scalable Human-Video-Driven Generalizable Humanoid Loco-Manipulation Learning Framework,2026,arXiv,http://arxiv.org/abs/2605.20373v1,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
22,doi:10.48550/arxiv.2410.08792,"VLM See, Robot Do: Human Demo Video to Robot Action Plan via Vision Language Model",2024,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2410.08792,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
23,doi:10.1007/s10015-022-00808-0,Beyond anthropomorphising robot motion and towards robot-specific motion: consideration of the potential of artist—dancers in research on robotic motion,2022,Artificial Life and Robotics,https://doi.org/10.1007/s10015-022-00808-0,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
24,doi:10.1155/2019/3679174,sEMG Based Human Motion Intention Recognition,2019,Journal of Robotics,https://doi.org/10.1155/2019/3679174,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
25,doi:10.1109/icca.2019.8899490,Predicting Human Intent for Cooperative Physical Human-Robot Interaction Tasks,2019,,https://doi.org/10.1109/icca.2019.8899490,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
26,arxiv:2605.08567v2,ACWM-Phys: Investigating Generalized Physical Interaction in Action-Conditioned Video World Models,2026,arXiv,http://arxiv.org/abs/2605.08567v2,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
27,doi:10.1177/0278364918812981,I-Planner: Intention-aware motion planning using learning-based human motion prediction,2019,The International Journal of Robotics Research,https://doi.org/10.1177/0278364918812981,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
28,title:adamorph unified motion retargeting via embodiment aware adaptive transformers,AdaMorph: Unified Motion Retargeting via Embodiment-Aware Adaptive Transformers,2026,ArXiv.org,https://openalex.org/W7124118478,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
29,doi:10.3390/app10051665,Contingent Task and Motion Planning under Uncertainty for Human–Robot Interactions,2020,Applied Sciences,https://doi.org/10.3390/app10051665,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
30,doi:10.1109/tro.2016.2540623,Learning Physical Collaborative Robot Behaviors From Human Demonstrations,2016,IEEE Transactions on Robotics,https://doi.org/10.1109/tro.2016.2540623,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
31,arxiv:2603.03243v2,HoMMI: Learning Whole-Body Mobile Manipulation from Human Demonstrations,2026,arXiv,http://arxiv.org/abs/2603.03243v2,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
32,doi:10.1109/tcds.2023.3241632,Applied Exoskeleton Technology: A Comprehensive Review of Physical and Cognitive Human–Robot Interaction,2023,IEEE Transactions on Cognitive and Developmental Systems,https://doi.org/10.1109/tcds.2023.3241632,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
33,doi:10.3390/app11125651,Variable Admittance Control Based on Trajectory Prediction of Human Hand Motion for Physical Human-Robot Interaction,2021,Applied Sciences,https://doi.org/10.3390/app11125651,Addresses learning robots from human video or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Human video physical intent disambiguation keeps action-critical alternatives explicit until a physical observation collapses them.
